student_id,first_name,last_name,age,sex,civil_status,region,province,municipality,barangay_type,year_level,course,course_category,gwa_percentage,gwa_numeric_1to5,family_annual_income_php,family_size,is_solo_parent_dependent,is_pwd,is_indigenous_people,is_4ps_beneficiary,is_ofw_dependent,parents_occupation,high_school_type,shs_strand,enrolled_hei_type,has_existing_scholarship,scholarship_label
1001,Glenda,Panganiban,23,Female ,Single,Region V,Bicol,Santiago City,Urban,3,BS Agricultural Engineering (Coconut),Coconut-Related,80.62,2.77,210817.0,7.0,No,No,No,No,Yes,,Public,STEM,SUC,No,CHED CoScho
1002,Karen,Aquino,17,Females,Single,Region II,Isabela,Ilagan City,Rural,4,BS Information Technology,IT/Computing,98.92,1.46,291150.0,7.0,Yes,No,N,No,No,Driver/Tricycle Operator,Public,STEM,Prvate HEI,No,DOST Undergraduate Scholarship
1003,Andrei,Cruz,18,Male,Single,Region II,Isabela,Ilagan City,Rural,2,BS Agricultural Engineering (Coconut),Coconut-Related,82.93,2.66,291344.0,5.0,No,No,No,Yes,,Unemployed,Private,STEM,LUC,No,CHED CoScho
1004,Maria,Agcaoili,21,Female,Single,Region II,,Alicia,Rural,3,BS Fisheries,Agriculture,89.48,2.06,337372.0,,No,No,Yes,No,No,Fisherfolk,Public,STEM,LUC,No,ACEF-GIAHEP
1005,Bryan,Gonzales,20,Male,Single,Region II,Cagayan,Burgos,Rural,2,BS Environmental Science,Science,81.54,2.68,176330.0,2.0,No,No,No,No,No,Vendor/Small Business,Public,STEM,LUC,No,BRO-ED ISU Cauayan
1006,Kristine,Soriano,17,Female,Single,Region II,Isabela,Roxas,Rural,3,BS Midwifery,Health Sciences,86.57,2.27,156810.0,4.0,No,No,No,No,No,OFW,Public,STEM,State University,No,DOST Undergraduate Scholarship
1007,Kevin,Soriano,21,Male,Single,Region VII,Other Province,Cordon,Rural,2,BS Fisheries,Agriculture,82.26,2.84,,5.0,N,No,No,No,Yes,Vendor/Small Business,Private,STEM,SUC,No,CHED TES
1008,Rowena,Cruz,18,Female,single,Region III,Bicol,Jones,Rural,4,BS Agribusiness (Coconut Industry),Coconut-Related,84.51,2.54,92004.0,7.0,No,No,No,,No,Coconut Farmer,Public,STEM,SUC,No,CHED CoScho
1009,Nicole,Reyes,20,Female,Single,Region II,Nueva Vizcaya,Alicia,Urban,3,BS Agribusiness (Coconut Industry),Coconut-Related,87.98,2.15,120630.0,2.0,No,,No,No,No,Driver/Tricycle Operator,Public,STEM,SUC,No,ACEF-GIAHEP
1010,Christian,Mendoza,25,Male,Single,Region II,Isabela,Cauayan City,Urban,2,BS Agriculture (Sugarcane Farming),Sugarcane-Related,83.76,2.94,201039.0,,Yes,,No,1,No,Coconut Farmer,Public,STEM,Private HEI,No,CHED TDP
